streams,acousticness,danceability,energy,liveness,speechiness,valence
621506.00,0.87,0.34,0.34,0.11,0.03,0.40
271778629.00,0.26,0.67,0.37,0.05,0.03,0.73
2049962.00,0.03,0.66,0.87,0.14,0.05,0.69
25757943.00,0.60,0.59,0.48,0.53,0.28,0.43
731797.00,0.13,0.61,0.83,0.15,0.16,0.39
18229982.00,0.07,0.61,0.67,0.35,0.05,0.32
791979.00,0.06,0.73,0.85,0.31,0.04,0.80
20048663.00,0.31,0.89,0.42,0.15,0.05,0.46
862750.00,0.02,0.73,0.86,0.09,0.10,0.73
3837854.00,0.97,0.54,0.37,0.64,0.04,0.10
49200099.00,0.14,0.72,0.76,0.13,0.09,0.49
3445980.00,0.05,0.78,0.67,0.39,0.06,0.67
337166092.00,0.02,0.77,0.72,0.35,0.05,0.90
11853348.00,0.10,0.75,0.77,0.14,0.15,0.79
192455860.00,0.03,0.70,0.64,0.26,0.24,0.87
46697521.00,0.06,0.71,0.89,0.13,0.24,0.82
22606475.00,0.09,0.36,0.57,0.14,0.08,0.11
8084611.00,0.80,0.83,0.37,0.28,0.04,0.98
43197062.00,0.00,0.84,0.60,0.12,0.06,0.30
820660.00,0.21,0.39,0.63,0.28,0.08,0.20
858880640.00,0.07,0.72,0.70,0.17,0.05,0.63
922291.00,0.38,0.76,0.62,0.11,0.17,0.32
281478602.00,0.03,0.64,0.79,0.36,0.25,0.94
14731761.00,0.38,0.74,0.75,0.13,0.30,0.86
1201484.00,0.06,0.54,0.67,0.11,0.08,0.31
5886600.00,0.03,0.62,0.63,0.17,0.03,0.16
863692.00,0.16,0.75,0.53,0.06,0.34,0.64
24671721.00,0.91,0.39,0.60,0.15,0.04,0.38
4877180.00,0.95,0.76,0.05,0.12,0.05,0.34
127150040.00,0.01,0.61,0.81,0.15,0.04,0.24
18246642.00,0.15,0.68,0.94,0.15,0.05,0.57
5040869.00,0.04,0.75,0.73,0.11,0.08,0.59
717174.00,0.49,0.84,0.73,0.09,0.27,0.41
3937709.00,0.31,0.55,0.68,0.12,0.30,0.59
107690524.00,0.05,0.75,0.46,0.07,0.04,0.42
1062097.00,0.08,0.65,0.54,0.33,0.04,0.41
31253242.00,0.08,0.67,0.71,0.06,0.21,0.48
293654617.00,0.07,0.93,0.72,0.35,0.11,0.46
99294357.00,0.56,0.83,0.45,0.27,0.07,0.34
25933734.00,0.20,0.70,0.71,0.12,0.05,0.71
15898333.00,0.06,0.85,0.55,0.33,0.19,0.66
611818.00,0.00,0.49,1.00,0.91,0.11,0.68
12374413.00,0.05,0.73,0.58,0.07,0.18,0.37
2382626.00,0.32,0.80,0.62,0.13,0.16,0.67
42304213.00,0.36,0.51,0.58,0.18,0.04,0.87
3228591.00,0.38,0.86,0.57,0.09,0.42,0.40
225010376.00,0.01,0.60,0.79,0.39,0.07,0.24
145545131.00,0.05,0.63,0.70,0.09,0.11,0.73
698863.00,0.00,0.81,0.70,0.13,0.10,0.15
598799451.00,0.35,0.51,0.57,0.34,0.20,0.22
3069743.00,0.90,0.52,0.45,0.13,0.04,0.20
54735600.00,0.07,0.90,0.76,0.34,0.32,0.34
3661786.00,0.08,0.72,0.65,0.59,0.31,0.66
18095890.00,0.20,0.69,0.38,0.71,0.38,0.43
508845.00,0.16,0.92,0.47,0.16,0.43,0.20
848303.00,0.04,0.84,0.87,0.12,0.04,0.67
1919430.00,0.23,0.80,0.56,0.18,0.05,0.39
9795373.00,0.98,0.39,0.15,0.10,0.03,0.09
155478693.00,0.01,0.77,0.68,0.06,0.05,0.71
92214379.00,0.04,0.67,0.65,0.09,0.16,0.24
726028.00,0.89,0.35,0.19,0.11,0.05,0.20
6265003.00,0.44,0.62,0.69,0.10,0.33,0.44
46989929.00,0.04,0.93,0.55,0.09,0.33,0.70
655234.00,0.08,0.40,0.92,0.05,0.28,0.88
5087553.00,0.29,0.58,0.64,0.19,0.04,0.53
34061676.00,0.01,0.67,0.53,0.15,0.04,0.42
7378139.00,0.05,0.81,0.80,0.07,0.08,0.69
70867961.00,0.16,0.77,0.76,0.04,0.05,0.91
8982395.00,0.81,0.51,0.28,0.09,0.04,0.55
2133277.00,0.84,0.50,0.45,0.13,0.09,0.12
6144032.00,0.24,0.84,0.66,0.21,0.09,0.58
11829855.00,0.00,0.73,0.86,0.12,0.12,0.42
60942205.00,0.06,0.71,0.60,0.15,0.04,0.50
1664383.00,0.08,0.80,0.44,0.08,0.03,0.60
117953304.00,0.07,0.51,0.64,0.08,0.05,0.38
48501272.00,0.26,0.90,0.33,0.11,0.09,0.27
116683833.00,0.43,0.68,0.76,0.09,0.05,0.89
858217.00,0.04,0.79,0.74,0.13,0.16,0.50
20995669.00,0.07,0.84,0.36,0.12,0.46,0.16
1879061.00,0.87,0.68,0.48,0.43,0.92,0.07
4095442.00,0.07,0.79,0.70,0.16,0.03,0.54
2685308.00,0.18,0.72,0.70,0.14,0.06,0.74
1406161.00,0.01,0.62,0.54,0.58,0.04,0.31
618623.00,0.03,0.72,0.49,0.11,0.13,0.63
315848197.00,0.21,0.75,0.65,0.13,0.06,0.43
2822826.00,0.04,0.68,0.77,0.12,0.09,0.28
8587983.00,0.04,0.75,0.71,0.06,0.28,0.65
1789642.00,0.14,0.43,0.56,0.12,0.15,0.35
767899.00,0.80,0.40,0.51,0.06,0.03,0.17
1037656.00,0.00,0.58,0.49,0.09,0.46,0.31
681591108.00,0.84,0.76,0.32,0.08,0.05,0.58
34309965.00,0.16,0.70,0.60,0.10,0.30,0.41
4695720.00,0.02,0.68,0.69,0.25,0.20,0.27
5289719.00,0.59,0.68,0.91,0.15,0.15,0.52
8998999.00,0.42,0.25,0.39,0.09,0.04,0.15
457723695.00,0.04,0.70,0.68,0.14,0.12,0.60
2264451.00,0.05,0.78,0.65,0.10,0.20,0.57
35405369.00,0.19,0.67,0.65,0.12,0.20,0.48
175135961.00,0.02,0.93,0.44,0.28,0.26,0.35
11283105.00,0.53,0.61,0.74,0.15,0.03,0.71
4346974.00,0.03,0.67,0.81,0.05,0.07,0.48
5579926.00,0.13,0.46,0.62,0.06,0.17,0.16
22248753.00,0.27,0.60,0.51,0.09,0.04,0.11
2894655.00,0.33,0.51,0.79,0.32,0.04,0.64
684903.00,0.95,0.39,0.13,0.11,0.05,0.05
3191832.00,0.00,0.52,0.90,0.10,0.04,0.24
827250.00,0.35,0.70,0.38,0.08,0.04,0.75
22904950.00,0.38,0.83,0.73,0.02,0.08,0.61
58608044.00,0.59,0.59,0.47,0.07,0.06,0.21
3910021.00,0.01,0.71,0.66,0.11,0.08,0.44
238218639.00,0.49,0.69,0.82,0.13,0.06,0.87
819203.00,0.05,0.87,0.49,0.30,0.17,0.32
1845148.00,0.00,0.83,0.58,0.17,0.11,0.11
3820152.00,0.05,0.63,0.67,0.10,0.05,0.30
5737528.00,0.00,0.63,0.66,0.11,0.03,0.24
647999.00,0.27,0.58,0.74,0.09,0.09,0.37
5013271.00,0.76,0.72,0.42,0.10,0.05,0.33
6016026.00,0.00,0.79,0.47,0.59,0.05,0.26
1542675.00,0.39,0.69,0.43,0.13,0.04,0.41
47781640.00,0.19,0.61,0.66,0.21,0.04,0.45
70083173.00,0.01,0.69,0.72,0.26,0.04,0.51
664795.00,0.40,0.73,0.50,0.12,0.03,0.31
1464503.00,0.01,0.77,0.87,0.08,0.14,0.74
118759913.00,0.03,0.42,0.37,0.38,0.07,0.09
557934.00,0.03,0.85,0.81,0.15,0.29,0.27
5853504.00,0.02,0.82,0.78,0.09,0.06,0.65
663109.00,0.11,0.57,0.74,0.35,0.04,0.51
40375361.00,0.00,0.64,0.80,0.15,0.30,0.31
556838.00,0.02,0.85,0.61,0.13,0.25,0.32
278018949.00,0.02,0.75,0.86,0.09,0.06,0.75
30710918.00,0.02,0.63,0.58,0.10,0.03,0.19
823319.00,0.10,0.92,0.83,0.08,0.09,0.71
17070168.00,0.34,0.80,0.75,0.10,0.07,0.54
521824.00,0.12,0.44,0.64,0.88,0.26,0.25
4881474.00,0.06,0.65,0.53,0.10,0.04,0.38
7610680.00,0.10,0.48,0.70,0.24,0.03,0.41
62321852.00,0.27,0.42,0.71,0.05,0.10,0.47
36781909.00,0.03,0.67,0.86,0.28,0.08,0.37
168607758.00,0.27,0.75,0.67,0.05,0.12,0.70
2633393.00,0.05,0.88,0.64,0.08,0.26,0.57
6343859.00,0.10,0.86,0.27,0.18,0.48,0.15
6787974.00,0.07,0.88,0.70,0.08,0.05,0.78
147962616.00,0.02,0.75,0.74,0.10,0.19,0.55
883321.00,0.15,0.36,0.64,0.09,0.08,0.44
161388600.00,0.01,0.61,0.83,0.11,0.38,0.69
49799279.00,0.72,0.60,0.37,0.16,0.03,0.18
20227695.00,0.01,0.75,0.82,0.16,0.25,0.42
10185710.00,0.02,0.65,0.71,0.09,0.04,0.20
16488150.00,0.45,0.71,0.73,0.32,0.06,0.31
3832045.00,0.74,0.76,0.49,0.11,0.12,0.56
867940.00,0.22,0.52,0.91,0.07,0.07,0.70
904502.00,0.00,0.84,0.57,0.17,0.05,0.26
3399233.00,0.09,0.41,0.62,0.40,0.07,0.23
8228373.00,0.03,0.77,0.55,0.14,0.36,0.36
441628.00,0.07,0.60,0.79,0.13,0.10,0.30
1149951431.00,0.19,0.69,0.79,0.17,0.05,0.67
161699146.00,0.01,0.84,0.77,0.09,0.24,0.41
36850487.00,0.68,0.59,0.36,0.13,0.27,0.05
2132100.00,0.00,0.55,0.86,0.05,0.03,0.65
822246.00,0.71,0.48,0.50,0.10,0.04,0.69
14773431.00,0.04,0.69,0.58,0.11,0.05,0.37
338686229.00,0.09,0.93,0.39,0.14,0.41,0.38
16540156.00,0.01,0.79,0.75,0.13,0.09,0.91
707389.00,0.02,0.43,0.69,0.20,0.14,0.71
136265353.00,0.62,0.70,0.76,0.11,0.05,0.70
118691159.00,0.03,0.88,0.46,0.23,0.16,0.30
352227513.00,0.38,0.75,0.65,0.23,0.29,0.67
48225816.00,0.24,0.69,0.77,0.33,0.04,0.85
1749157.00,0.14,0.78,0.92,0.38,0.15,0.84
6957747.00,0.05,0.96,0.60,0.14,0.11,0.62
1691370.00,0.12,0.75,0.39,0.10,0.49,0.74
128131197.00,0.61,0.59,0.47,0.51,0.05,0.90
953880291.00,0.00,0.76,0.70,0.15,0.07,0.61
333820837.00,0.00,0.73,0.75,0.11,0.23,0.40
2485174.00,0.00,0.35,0.83,0.08,0.04,0.15
531902.00,0.03,0.53,0.92,0.16,0.05,0.68
572137.00,0.00,0.75,0.91,0.34,0.07,0.39
47818636.00,0.56,0.62,0.46,0.14,0.03,0.50
1296478.00,0.01,0.81,0.90,0.10,0.10,0.47
169363895.00,0.08,0.80,0.74,0.09,0.08,0.45
529125.00,0.14,0.84,0.46,0.11,0.20,0.54
1803406.00,0.31,0.66,0.58,0.11,0.05,0.55
17768284.00,0.00,0.90,0.62,0.05,0.06,0.54
2145759.00,0.00,0.55,0.87,0.14,0.06,0.33
876859.00,0.41,0.55,0.44,0.11,0.09,0.53
347597.00,0.04,0.65,0.74,0.17,0.04,0.38
29035759.00,0.56,0.61,0.23,0.11,0.03,0.19
5004729.00,0.09,0.76,0.50,0.15,0.19,0.27
628538.00,0.20,0.67,0.48,0.09,0.03,0.34
1537738.00,0.87,0.33,0.36,0.19,0.03,0.10
20900548.00,0.03,0.88,0.45,0.22,0.22,0.28
726346.00,0.27,0.33,0.62,0.18,0.28,0.41
309788937.00,0.02,0.88,0.35,0.09,0.35,0.38
295713150.00,0.19,0.74,0.48,0.36,0.03,0.95
256028320.00,0.43,0.67,0.71,0.10,0.05,0.46
53339250.00,0.16,0.89,0.61,0.12,0.12,0.22
89677041.00,0.08,0.82,0.58,0.09,0.34,0.54
12972648.00,0.01,0.70,0.87,0.63,0.05,0.78
1318395367.00,0.33,0.70,0.43,0.10,0.38,0.56
207541633.00,0.22,0.70,0.61,0.08,0.04,0.22
191139422.00,0.00,0.80,0.58,0.37,0.05,0.37
508920.00,0.03,0.67,0.62,0.19,0.05,0.23
704453334.00,0.06,0.84,0.63,0.40,0.13,0.35
24954222.00,0.47,0.63,0.48,0.13,0.03,0.64
1681439.00,0.00,0.67,0.85,0.13,0.09,0.36
794366.00,0.24,0.77,0.73,0.22,0.05,0.84
18319467.00,0.14,0.62,0.75,0.26,0.06,0.49
170983592.00,0.01,0.95,0.59,0.11,0.29,0.22
201713778.00,0.20,0.63,0.59,0.10,0.11,0.68
297270138.00,0.60,0.46,0.58,0.09,0.06,0.18
115812409.00,0.44,0.49,0.46,0.23,0.04,0.32
7918746.00,0.01,0.87,0.35,0.11,0.28,0.18
40580907.00,0.11,0.78,0.81,0.33,0.48,0.64
32049335.00,0.03,0.63,0.74,0.31,0.04,0.28
1465237.00,0.07,0.80,0.83,0.18,0.11,0.24
59661099.00,0.31,0.64,0.77,0.11,0.38,0.46
840870.00,0.03,0.74,0.73,0.68,0.33,0.43
302535980.00,0.06,0.88,0.66,0.13,0.43,0.84
772902.00,0.34,0.84,0.76,0.12,0.19,0.49
888614.00,0.16,0.66,0.55,0.20,0.18,0.30
4720994.00,0.45,0.57,0.65,0.13,0.48,0.44
16771921.00,0.20,0.74,0.81,0.80,0.05,0.77
20119642.00,0.59,0.77,0.16,0.10,0.04,0.53
2148202.00,0.48,0.67,0.62,0.18,0.03,0.82
57407596.00,0.71,0.55,0.54,0.08,0.03,0.49
684999.00,0.27,0.91,0.50,0.08,0.64,0.11
749205.00,0.03,0.79,0.75,0.16,0.07,0.31
198749211.00,0.06,0.57,0.78,0.08,0.05,0.40
3831387.00,0.00,0.37,0.87,0.13,0.05,0.59
4192325.00,0.80,0.32,0.20,0.12,0.03,0.34
11391366.00,0.70,0.48,0.63,0.21,0.10,0.07
886348.00,0.18,0.74,0.34,0.09,0.03,0.56
12521721.00,0.71,0.53,0.82,0.11,0.03,0.56
793833.00,0.00,0.75,0.69,0.32,0.05,0.16
560784.00,0.19,0.86,0.44,0.09,0.07,0.70
34169754.00,0.04,0.73,0.89,0.14,0.04,0.68
74791595.00,0.08,0.76,0.67,0.22,0.08,0.64
2955644.00,0.69,0.64,0.44,0.12,0.04,0.75
55207537.00,0.49,0.76,0.63,0.16,0.09,0.37
462354.00,0.24,0.79,0.67,0.14,0.07,0.24
6571534.00,0.02,0.80,0.91,0.13,0.09,0.80
20288775.00,0.39,0.74,0.55,0.07,0.42,0.51
2878604.00,0.08,0.42,0.85,0.07,0.21,0.67
813211.00,0.01,0.57,0.68,0.07,0.04,0.05
7216870.00,0.11,0.84,0.68,0.13,0.05,0.34
820643.00,0.04,0.86,0.68,0.07,0.16,0.85
29010937.00,0.33,0.70,0.71,0.13,0.05,0.58
2125248.00,0.35,0.57,0.73,0.15,0.21,0.53
971336.00,0.02,0.58,0.82,0.13,0.06,0.30
37388880.00,0.00,0.66,0.56,0.08,0.05,0.71
354719751.00,0.35,0.79,0.75,0.10,0.05,0.82
48631415.00,0.10,0.55,0.58,0.13,0.12,0.46
7447183.00,0.10,0.66,0.94,0.88,0.05,0.76
686041.00,0.90,0.44,0.27,0.16,0.04,0.42
71377350.00,0.05,0.53,0.64,0.10,0.11,0.54
5273842.00,0.58,0.82,0.46,0.13,0.17,0.23
458136.00,0.05,0.62,0.61,0.09,0.04,0.40
12888381.00,0.62,0.53,0.51,0.13,0.03,0.41
4949629.00,0.13,0.86,0.48,0.09,0.34,0.19
518669657.00,0.26,0.89,0.50,0.25,0.09,0.54
44251851.00,0.13,0.54,0.91,0.13,0.04,0.96
10424524.00,0.03,0.47,0.87,0.31,0.34,0.65
788095520.00,0.02,0.60,0.85,0.12,0.46,0.15
15032970.00,0.18,0.60,0.73,0.24,0.20,0.53
677716.00,0.16,0.60,0.74,0.15,0.33,0.57
1567645.00,0.02,0.31,0.64,0.37,0.03,0.31
25105664.00,0.11,0.63,0.73,0.11,0.09,0.32
24283613.00,0.25,0.67,0.68,0.72,0.06,0.47
279602312.00,0.17,0.79,0.85,0.41,0.05,0.82
772189.00,0.01,0.55,0.62,0.11,0.05,0.62
780745.00,0.77,0.84,0.68,0.40,0.19,0.72
600695.00,0.05,0.31,0.56,0.19,0.04,0.06
758908.00,0.06,0.83,0.72,0.10,0.08,0.69
39368142.00,0.10,0.55,0.58,0.13,0.12,0.46
4624052.00,0.23,0.71,0.52,0.21,0.09,0.56
2832581.00,0.09,0.73,0.69,0.34,0.04,0.55
45068899.00,0.16,0.55,0.42,0.11,0.05,0.27
17662473.00,0.26,0.75,0.79,0.13,0.10,0.67
93033398.00,0.03,0.94,0.55,0.19,0.29,0.42
34507526.00,0.02,0.88,0.60,0.13,0.04,0.09
503526245.00,0.15,0.84,0.36,0.27,0.28,0.46
39506461.00,0.39,0.51,0.54,0.10,0.06,0.24
28517270.00,0.16,0.67,0.56,0.07,0.21,0.60
4129988.00,0.60,0.86,0.57,0.07,0.42,0.91
21947191.00,0.05,0.64,0.86,0.69,0.13,0.23
5435285.00,0.31,0.63,0.45,0.11,0.03,0.11
3262376.00,0.03,0.92,0.57,0.09,0.18,0.70
843971.00,0.74,0.32,0.24,0.17,0.03,0.39
90467186.00,0.00,0.68,0.82,0.28,0.06,0.80
184718520.00,0.87,0.46,0.47,0.11,0.13,0.60
23586629.00,0.44,0.66,0.76,0.09,0.30,0.65
3190465.00,0.07,0.85,0.68,0.27,0.11,0.81
41354750.00,0.19,0.78,0.67,0.06,0.05,0.51
6377885.00,0.03,0.83,0.59,0.27,0.07,0.40
325951.00,0.08,0.76,0.88,0.25,0.25,0.68
608154.00,0.06,0.59,0.90,0.12,0.05,0.54
633109508.00,0.08,0.79,0.81,0.08,0.09,0.61
45632927.00,0.04,0.72,0.79,0.24,0.17,0.86
11094939.00,0.76,0.85,0.52,0.09,0.07,0.87
121402364.00,0.02,0.84,0.72,0.10,0.05,0.53
26600274.00,0.25,0.62,0.69,0.11,0.45,0.45
545476.00,0.21,0.56,0.41,0.28,0.04,0.43
14359268.00,0.23,0.76,0.79,0.06,0.05,0.58
901833.00,0.01,0.80,0.63,0.12,0.05,0.53
4204017.00,0.04,0.44,0.89,0.04,0.32,0.69
12223470.00,0.92,0.48,0.20,0.09,0.03,0.86
6463367.00,0.12,0.82,0.72,0.18,0.06,0.90
10615941.00,0.11,0.59,0.53,0.13,0.06,0.51
32474976.00,0.08,0.84,0.84,0.05,0.07,0.65
412149.00,0.79,0.40,0.15,0.35,0.05,0.31
19991063.00,0.25,0.72,0.77,0.31,0.18,0.35
677873.00,0.02,0.86,0.73,0.10,0.19,0.20
1491148.00,0.28,0.77,0.87,0.41,0.06,0.47
857246.00,0.00,0.97,0.52,0.25,0.31,0.12
290810103.00,0.03,0.70,0.72,0.13,0.04,0.29
36750553.00,0.14,0.75,0.80,0.14,0.35,0.55
790077.00,0.10,0.54,0.59,0.20,0.04,0.24
876686.00,0.00,0.51,0.71,0.44,0.07,0.32
1910794.00,0.21,0.75,0.73,0.27,0.06,0.33
2468374.00,0.01,0.72,0.80,0.29,0.08,0.71
53832033.00,0.12,0.66,0.74,0.12,0.05,0.48
17978954.00,0.21,0.82,0.74,0.10,0.05,0.78
7142650.00,0.13,0.61,0.70,0.57,0.37,0.67
14618673.00,0.89,0.63,0.22,0.28,0.04,0.37
5749205.00,0.84,0.29,0.33,0.15,0.04,0.15
4027985.00,0.04,0.89,0.75,0.27,0.27,0.38
1633955.00,0.01,0.63,0.57,0.08,0.06,0.47
1648891.00,0.83,0.59,0.37,0.11,0.40,0.31
1667493.00,0.00,0.75,0.62,0.29,0.17,0.29
172366950.00,0.04,0.76,0.57,0.09,0.09,0.41
6894580.00,0.04,0.71,0.66,0.11,0.05,0.32
28160599.00,0.11,0.56,0.91,0.15,0.08,0.67
8236778.00,0.48,0.94,0.56,0.13,0.16,0.52
5701220.00,0.20,0.80,0.49,0.13,0.19,0.53
950096.00,0.00,0.86,0.54,0.09,0.37,0.39
22511463.00,0.10,0.91,0.37,0.26,0.09,0.74
84331632.00,0.14,0.69,0.76,0.17,0.40,0.77
13606740.00,0.06,0.60,0.68,0.32,0.03,0.44
499497.00,0.00,0.75,0.61,0.14,0.05,0.16
6989120.00,0.73,0.64,0.40,0.33,0.04,0.50
967592.00,0.17,0.71,0.52,0.08,0.04,0.18
95133385.00,0.04,0.89,0.67,0.10,0.19,0.53
16905511.00,0.70,0.53,0.58,0.37,0.38,0.38
475026.00,0.91,0.25,0.25,0.09,0.04,0.17
2691830.00,0.04,0.60,0.96,0.09,0.10,0.50
88541436.00,0.59,0.57,0.41,0.10,0.04,0.27
773725.00,0.03,0.84,0.79,0.07,0.06,0.87
5348017.00,0.60,0.61,0.67,0.20,0.20,0.79
5917118.00,0.12,0.39,0.80,0.18,0.48,0.14
1697802.00,0.37,0.51,0.53,0.13,0.04,0.22
1504271.00,0.58,0.67,0.72,0.10,0.03,0.68
22006904.00,0.10,0.97,0.46,0.15,0.37,0.46
26618238.00,0.00,0.50,0.86,0.64,0.04,0.24
9344633.00,0.13,0.47,0.79,0.09,0.07,0.79
874193.00,0.37,0.54,0.73,0.13,0.04,0.36
6446981.00,0.09,0.78,0.71,0.08,0.23,0.57
3547663.00,0.06,0.75,0.72,0.10,0.04,0.67
2739460.00,0.05,0.66,0.54,0.11,0.32,0.55
2745862.00,0.22,0.64,0.54,0.24,0.05,0.25
128847735.00,0.11,0.90,0.89,0.11,0.27,0.63
3049950.00,0.12,0.76,0.96,0.36,0.13,0.92
573245.00,0.11,0.42,0.74,0.11,0.39,0.37
647250.00,0.82,0.24,0.28,0.27,0.03,0.24
1501273.00,0.01,0.95,0.50,0.12,0.40,0.33
481429.00,0.17,0.80,0.67,0.13,0.23,0.31
474866.00,0.12,0.35,0.59,0.10,0.04,0.17
38238320.00,0.00,0.90,0.45,0.37,0.08,0.32
641980.00,0.02,0.65,0.68,0.38,0.06,0.09
10086475.00,0.26,0.65,0.68,0.10,0.04,0.77
335238632.00,0.13,0.66,0.67,0.07,0.06,0.27
575093.00,0.19,0.64,0.62,0.07,0.06,0.49
12238320.00,0.88,0.61,0.26,0.10,0.03,0.16
13822545.00,0.02,0.46,0.81,0.21,0.24,0.72
13040755.00,0.03,0.66,0.73,0.12,0.06,0.61
811560.00,0.02,0.38,0.65,0.17,0.06,0.09
10641204.00,0.33,0.78,0.75,0.33,0.19,0.72
4189428.00,0.60,0.79,0.79,0.10,0.30,0.39
1510825.00,0.02,0.76,0.70,0.11,0.26,0.49
24334814.00,0.10,0.70,0.59,0.11,0.07,0.11
17247629.00,0.02,0.64,0.87,0.12,0.04,0.91
4834242.00,0.27,0.81,0.46,0.17,0.11,0.49
8973845.00,0.04,0.73,0.74,0.34,0.31,0.23
16040069.00,0.25,0.65,0.55,0.10,0.13,0.51
648691.00,0.00,0.65,0.77,0.10,0.06,0.41
1387872.00,0.21,0.76,0.61,0.14,0.05,0.94
2394571.00,0.02,0.59,0.79,0.64,0.05,0.33
65600892.00,0.08,0.66,0.57,0.12,0.03,0.14
519665807.00,0.54,0.75,0.51,0.10,0.25,0.42
807135.00,0.06,0.77,0.57,0.22,0.31,0.61
4534289.00,0.20,0.65,0.78,0.35,0.24,0.64
8394861.00,0.27,0.90,0.67,0.11,0.16,0.41
618002.00,0.12,0.70,0.77,0.11,0.04,0.23
94672770.00,0.25,0.84,0.49,0.26,0.04,0.90
111306252.00,0.04,0.59,0.62,0.15,0.03,0.28
645850.00,0.59,0.71,0.62,0.40,0.04,0.56
9584863.00,0.34,0.70,0.59,0.12,0.08,0.48
8361904.00,0.04,0.91,0.52,0.09,0.13,0.47
883902.00,0.43,0.65,0.46,0.11,0.05,0.27
36768165.00,0.81,0.68,0.72,0.08,0.09,0.96
50376709.00,0.63,0.51,0.67,0.14,0.07,0.12
4787428.00,0.10,0.73,0.97,0.18,0.07,0.97
772644.00,0.11,0.56,0.79,0.12,0.45,0.46
594154.00,0.59,0.54,0.32,0.21,0.03,0.58
1011273.00,0.53,0.86,0.71,0.62,0.10,0.69
840500.00,0.19,0.84,0.70,0.19,0.34,0.75
25493383.00,0.01,0.61,0.87,0.20,0.04,0.59
5051971.00,0.24,0.53,0.87,0.33,0.09,0.71
168596581.00,0.05,0.82,0.67,0.10,0.08,0.66
49077778.00,0.76,0.73,0.28,0.12,0.06,0.72
2944518.00,0.14,0.47,0.54,0.48,0.23,0.13
23428655.00,0.92,0.42,0.26,0.13,0.03,0.33
675777.00,0.45,0.39,0.90,0.91,0.41,0.47
810718.00,0.07,0.88,0.72,0.09,0.19,0.61
30368771.00,0.05,0.97,0.59,0.07,0.26,0.27
640866.00,0.19,0.60,0.50,0.34,0.07,0.25
6189044.00,0.07,0.65,0.80,0.38,0.17,0.60
2471438.00,0.04,0.80,0.77,0.11,0.16,0.32
2052503.00,0.27,0.67,0.69,0.18,0.06,0.52
2712666.00,0.17,0.89,0.93,0.07,0.09,0.76
398495826.00,0.39,0.88,0.69,0.05,0.12,0.75
9005610.00,0.55,0.63,0.35,0.10,0.03,0.08
3166871.00,0.04,0.84,0.54,0.12,0.48,0.16
11226613.00,0.78,0.40,0.84,0.19,0.13,0.21
57546735.00,0.33,0.80,0.76,0.46,0.05,0.82
19767044.00,0.74,0.64,0.54,0.15,0.31,0.51
1715568.00,0.24,0.48,0.54,0.08,0.04,0.82
86650523.00,0.00,0.53,0.90,0.04,0.42,0.43
10008216.00,0.09,0.76,0.50,0.07,0.27,0.35
8493231.00,0.28,0.78,0.72,0.20,0.04,0.93
22132869.00,0.33,0.75,0.65,0.17,0.22,0.84
10243846.00,0.01,0.42,0.65,0.11,0.40,0.73
15190996.00,0.09,0.92,0.68,0.59,0.27,0.45
331977007.00,0.04,0.70,0.71,0.29,0.06,0.35
16391796.00,0.24,0.69,0.59,0.36,0.11,0.61
435032689.00,0.74,0.65,0.56,0.12,0.03,0.48
41177708.00,0.12,0.58,0.82,0.34,0.10,0.44
139278021.00,0.06,0.62,0.71,0.13,0.07,0.49
15815234.00,0.25,0.67,0.68,0.72,0.06,0.47
52285353.00,0.15,0.68,0.78,0.23,0.36,0.23
33396693.00,0.22,0.84,0.60,0.09,0.09,0.71
20944415.00,0.85,0.69,0.22,0.11,0.04,0.27
658383560.00,0.01,0.54,0.68,0.13,0.10,0.29
240959049.00,0.30,0.55,0.50,0.76,0.04,0.30
113267809.00,0.03,0.87,0.71,0.09,0.13,0.59
1267745.00,0.05,0.78,0.98,0.60,0.29,0.49
18535920.00,0.26,0.54,0.55,0.16,0.16,0.17
6969254.00,0.05,0.91,0.52,0.10,0.13,0.52
4711224.00,0.09,0.71,0.80,0.34,0.30,0.91
1068898.00,0.39,0.94,0.80,0.07,0.06,0.90
932236.00,0.04,0.60,0.85,0.40,0.29,0.45
2455423.00,0.22,0.68,0.33,0.13,0.18,0.22
105579951.00,0.10,0.66,0.59,0.12,0.03,0.30
667270.00,0.00,0.77,0.83,0.03,0.03,0.93
42207927.00,0.30,0.67,0.89,0.74,0.06,0.48
87437639.00,0.03,0.61,0.83,0.12,0.06,0.73
1919934.00,0.08,0.57,0.55,0.11,0.06,0.20
1356951.00,0.65,0.39,0.34,0.25,0.03,0.48
24992874.00,0.01,0.74,0.34,0.08,0.41,0.12
588554.00,0.35,0.85,0.95,0.12,0.12,0.63
8611333.00,0.26,0.78,0.78,0.23,0.24,0.29
497700417.00,0.28,0.72,0.65,0.10,0.07,0.44
771075.00,0.02,0.46,0.54,0.13,0.04,0.22
90482887.00,0.12,0.78,0.43,0.09,0.04,0.24
275242403.00,0.07,0.38,0.64,0.37,0.07,0.08
461929390.00,0.54,0.52,0.39,0.14,0.03,0.24
1716240.00,0.00,0.93,0.70,0.27,0.09,0.53
133900665.00,0.02,0.85,0.72,0.24,0.07,0.63
1707309.00,0.01,0.78,0.56,0.23,0.26,0.08
5540145.00,0.06,0.75,0.78,0.08,0.04,0.41
