streams,acousticness,danceability,energy,liveness,speechiness,valence
4737584.00,0.27,0.78,0.57,0.20,0.19,0.86
2412983.00,0.32,0.85,0.63,0.10,0.06,0.38
1795359.00,0.43,0.69,0.50,0.06,0.03,0.75
18273729.00,0.09,0.65,0.64,0.14,0.46,0.56
68046119.00,0.14,0.57,0.78,0.13,0.08,0.18
421847588.00,0.17,0.75,0.66,0.11,0.04,0.44
1342181.00,0.00,0.74,0.53,0.35,0.04,0.13
10445065.00,0.17,0.46,0.59,0.31,0.04,0.18
4090970.00,0.45,0.68,0.51,0.18,0.06,0.26
3022128.00,0.57,0.68,0.64,0.22,0.04,0.83
67294769.00,0.02,0.73,0.55,0.37,0.03,0.51
9774617.00,0.10,0.71,0.63,0.08,0.08,0.37
823340.00,0.15,0.76,0.71,0.10,0.19,0.78
32297309.00,0.21,0.82,0.72,0.28,0.07,0.78
26178542.00,0.05,0.81,0.76,0.34,0.09,0.29
3623112.00,0.18,0.78,0.73,0.36,0.08,0.38
4447831.00,0.14,0.54,0.52,0.11,0.06,0.12
14380213.00,0.01,0.58,0.78,0.29,0.03,0.36
531240638.00,0.07,0.62,0.88,0.33,0.10,0.78
703181.00,0.84,0.57,0.16,0.09,0.03,0.09
2453241.00,0.05,0.81,0.66,0.12,0.28,0.31
1691221.00,0.08,0.55,0.70,0.35,0.03,0.65
32550930.00,0.59,0.81,0.35,0.10,0.31,0.07
39836750.00,0.23,0.75,0.65,0.10,0.10,0.44
50751755.00,0.09,0.56,0.78,0.08,0.05,0.24
853394.00,0.00,0.33,0.61,0.11,0.05,0.24
611197.00,0.77,0.38,0.61,0.18,0.04,0.52
3137695.00,0.11,0.80,0.96,0.11,0.18,0.65
46081673.00,0.14,0.85,0.67,0.80,0.18,0.73
885617.00,0.04,0.80,0.81,0.22,0.29,0.37
1295031.00,0.01,0.85,0.80,0.10,0.29,0.43
114282577.00,0.20,0.63,0.93,0.15,0.03,0.47
11155049.00,0.05,0.60,0.60,0.28,0.23,0.60
5241710.00,0.00,0.55,0.87,0.16,0.06,0.30
8527988.00,0.27,0.36,0.71,0.21,0.08,0.31
30659081.00,0.02,0.63,0.72,0.26,0.04,0.56
6399280.00,0.24,0.58,0.77,0.14,0.05,0.67
208992360.00,0.12,0.85,0.46,0.35,0.14,0.55
138113768.00,0.01,0.74,0.48,0.45,0.14,0.32
774439.00,0.11,0.66,0.83,0.78,0.34,0.50
3883813.00,0.02,0.37,0.80,0.07,0.08,0.18
685308.00,0.19,0.85,0.82,0.18,0.09,0.55
659164.00,0.08,0.73,0.93,0.12,0.16,0.21
651446.00,0.67,0.62,0.80,0.11,0.17,0.62
25378158.00,0.03,0.83,0.49,0.09,0.23,0.37
825060.00,0.63,0.39,0.44,0.08,0.14,0.15
3878759.00,0.16,0.65,0.68,0.12,0.08,0.27
102759086.00,0.54,0.67,0.67,0.13,0.04,0.61
29356244.00,0.14,0.64,0.86,0.13,0.15,0.57
923752.00,0.20,0.72,0.52,0.16,0.37,0.45
1622649.00,0.29,0.69,0.65,0.11,0.03,0.71
1784521.00,0.00,0.53,0.78,0.24,0.22,0.21
1873302.00,0.05,0.62,0.80,0.32,0.22,0.17
390969.00,0.02,0.67,0.71,0.11,0.10,0.63
415563792.00,0.16,0.34,0.63,0.07,0.04,0.35
17929666.00,0.49,0.36,0.54,0.12,0.09,0.45
874967.00,0.05,0.77,0.81,0.15,0.30,0.26
42454667.00,0.20,0.75,0.72,0.13,0.18,0.54
1460653.00,0.01,0.69,0.79,0.22,0.06,0.26
24364838.00,0.08,0.57,0.69,0.06,0.12,0.32
